step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,ccurve,247,pure_pursuit,10.0,250.85569763183594,-310.97308349609375,-179.4102020263672,8.178068656541658e-07,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,6,0.9800000786781311,79.21691570285796
1,0.05,ccurve,247,pure_pursuit,10.0,250.85569763183594,-310.97308349609375,-179.4102020263672,8.178068656541658e-07,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,6,1.470000147819519,79.21691570285796
2,0.1,ccurve,247,pure_pursuit,10.0,250.85569763183594,-310.97308349609375,-179.4102020263672,8.178068656541658e-07,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,6,1.9600002765655518,79.21691570285796
3,0.15000000000000002,ccurve,247,pure_pursuit,10.0,250.85569763183594,-310.97308349609375,-179.4102020263672,8.178068656541658e-07,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,6,2.450000286102295,79.21691570285796
4,0.2,ccurve,247,pure_pursuit,10.0,250.85574340820312,-310.97308349609375,-179.41123962402344,1.6448470399750987e-05,0.35,0.0,1.52587890625e-05,0.0010223388672067526,0,5,2.13771330554713,79.21687843827782
5,0.25,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.4153594970703,8.226564802203123e-05,0.35,0.0,0.0001220703125,0.00514221191407503,0,5,0.8317166704955342,79.2167914876255
6,0.30000000000000004,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41671752929688,0.0001039941634635775,0.35,0.0,0.0001220703125,0.006500244140651711,0,5,0.2009352682552314,79.2167914876255
7,0.35000000000000003,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41671752929688,0.0001039941634635775,0.35,0.0,0.0001220703125,0.006500244140651711,0,5,0.0758825754538662,79.2167914876255
8,0.4,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.416259765625,9.66699447851352e-05,0.35,0.0,0.0001220703125,0.006042480468760495,0,5,0.17462409526936887,79.2167914876255
9,0.45,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41567993164062,8.739260111107787e-05,0.35,0.0,0.0001220703125,0.005462646484398881,0,5,0.18938539131308302,79.2167914876255
10,0.5,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41506958007812,7.762697617584864e-05,0.35,0.0,0.0001220703125,0.0048522949218942225,0,5,0.16895663131866667,79.2167914876255
11,0.55,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.4146270751953,7.054689808838462e-05,0.35,0.0,0.0001220703125,0.004409790039099973,0,5,0.13747030800154844,79.2167914876255
12,0.6000000000000001,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41424560546875,6.444338249037664e-05,0.35,0.0,0.0001220703125,0.004028320312540923,0,5,0.10598420066883886,79.2167914876255
13,0.65,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41397094726562,6.004885125671184e-05,0.35,0.0,0.0001220703125,0.003753662109406193,0,5,0.07886421942567619,79.2167914876255
14,0.7000000000000001,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41372680664062,5.614260126961331e-05,0.35,0.0,0.0001220703125,0.003509521484363619,0,5,0.05722598896776558,79.2167914876255
15,0.75,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41358947753906,5.39453356509814e-05,0.35,0.0,0.0001220703125,0.003372192382847143,0,5,0.040748031164710305,79.2167914876255
16,0.8,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41348266601562,5.223635128044897e-05,0.35,0.0,0.0001220703125,0.003265380859371933,0,5,0.02860043230673779,79.2167914876255
17,0.8500000000000001,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41348266601562,5.223635128044897e-05,0.35,0.0,0.0001220703125,0.003265380859371933,0,5,0.019837275540019843,79.2167914876255
18,0.9,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41336059570312,5.02832262854844e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,5,0.01362905599225583,79.2167914876255
19,0.9500000000000001,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41336059570312,5.02832262854844e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,5,0.009289513944847509,79.2167914876255
20,1.0,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41336059570312,5.02832262854844e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,5,0.006289127271141589,79.2167914876255
21,1.05,ccurve,247,pure_pursuit,10.0,250.85585021972656,-310.97308349609375,-179.41336059570312,5.02832262854844e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,5,0.004232576177745038,79.2167914876255
22,1.1,ccurve,247,pure_pursuit,10.0,250.85311889648438,-310.97308349609375,-179.4134979248047,5.558067413101652e-05,0.35,0.0,0.0026092529296875,0.0032806396484689,0,6,0.2667588902700875,79.21901495528186
