step,time,route_name,spawn_index,controller_type,tuning_value,x,y,path_x,path_y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,ccurve,247,pure_pursuit,6.0,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-2.5024173347442687e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,4,0.9800000786781311,79.21691570285796
1,0.05,ccurve,247,pure_pursuit,6.0,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-2.5024173347442687e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,4,1.470000147819519,79.21691570285796
2,0.1,ccurve,247,pure_pursuit,6.0,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-2.5024173347442687e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,4,1.9600002765655518,79.21691570285796
3,0.15000000000000002,ccurve,247,pure_pursuit,6.0,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-2.5024173347442687e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,4,2.450000286102295,79.21691570285796
4,0.2,ccurve,247,pure_pursuit,6.0,250.85574340820312,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41123962402344,2.895228045199073e-05,0.35,0.0,1.52587890625e-05,0.0010223388672067526,0,3,2.137713305508314,79.21687843827782
5,0.25,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4153594970703,0.00013853556122732502,0.35,0.0,0.0001220703125,0.00514221191407503,0,3,0.8317166705170111,79.2167914876255
6,0.30000000000000004,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41671752929688,0.0001747497534111316,0.35,0.0,0.0001220703125,0.006500244140651711,0,3,0.200935268274513,79.2167914876255
7,0.35000000000000003,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41671752929688,0.0001747497534111316,0.35,0.0,0.0001220703125,0.006500244140651711,0,3,0.07588265741002105,79.2167914876255
8,0.4,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.416259765625,0.00016254272236538366,0.35,0.0,0.0001220703125,0.006042480468760495,0,3,0.17462458701830993,79.2167914876255
9,0.45,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41567993164062,0.00014708048299956502,0.35,0.0,0.0001220703125,0.005462646484398881,0,3,0.18938582349496524,79.2167914876255
10,0.5,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41506958007812,0.00013080444151821144,0.35,0.0,0.0001220703125,0.0048522949218942225,0,3,0.16895678031400643,79.2167914876255
11,0.55,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4146270751953,0.00011900431141789317,0.35,0.0,0.0001220703125,0.004409790039099973,0,3,0.13747045691252363,79.2167914876255
12,0.6000000000000001,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41424560546875,0.00010883178545390607,0.35,0.0,0.0001220703125,0.004028320312540923,0,3,0.10598433467510375,79.2167914876255
13,0.65,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41397094726562,0.00010150756675124674,0.35,0.0,0.0001220703125,0.003753662109406193,0,3,0.07886436840565145,79.2167914876255
14,0.7000000000000001,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41372680664062,9.499715012172873e-05,0.35,0.0,0.0001220703125,0.003509521484363619,0,3,0.0572266962283705,79.2167914876255
15,0.75,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41358947753906,9.133504076527109e-05,0.35,0.0,0.0001220703125,0.003372192382847143,0,3,0.04074831414572191,79.2167914876255
16,0.8,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41348266601562,8.848673348680236e-05,0.35,0.0,0.0001220703125,0.003265380859371933,0,3,0.028600632119522358,79.2167914876255
17,0.8500000000000001,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41348266601562,8.848673348680236e-05,0.35,0.0,0.0001220703125,0.003265380859371933,0,3,0.019836991221716754,79.2167914876255
18,0.9,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41336059570312,8.523152516800604e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,3,0.013628913635303793,79.2167914876255
19,0.9500000000000001,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41336059570312,8.523152516800604e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,3,0.00928997324283296,79.2167914876255
20,1.0,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41336059570312,8.523152516800604e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,3,0.006289260508647442,79.2167914876255
21,1.05,ccurve,247,pure_pursuit,6.0,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41336059570312,8.523152516800604e-05,0.35,0.0,0.0001220703125,0.003143310546850646,0,3,0.004232727988923662,79.2167914876255
22,1.1,ccurve,247,pure_pursuit,6.0,250.85311889648438,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4134979248047,9.045874361428272e-05,0.35,0.0,0.0026092529296875,0.0032806396484689,0,4,0.26675683631966035,79.21901495528186
23,1.1500000000000001,ccurve,247,pure_pursuit,6.0,250.81663513183594,-310.9734802246094,250.85572814941406,-310.97308349609375,-179.4136199951172,8.966589767945799e-05,0.35,0.0,0.03909503059058402,0.003402709960939298,0,4,1.009276405874371,79.24894838441013
24,1.2000000000000002,ccurve,247,pure_pursuit,6.0,250.75213623046875,-310.97406005859375,250.85572814941406,-310.97308349609375,-179.40277099609375,-0.0001833741226550021,0.35,0.0,0.10359652187737096,-0.007446289062526298,0,4,1.4266614269592082,79.30180999762833
25,1.25,ccurve,247,pure_pursuit,6.0,250.67184448242188,-310.9748229980469,250.85572814941406,-310.97308349609375,-179.38363647460938,-0.0006810430016491693,0.35,0.0,0.18389189447482082,-0.02658081054686668,0,4,1.695288353293726,79.3676629085085
