step,time,route_name,spawn_index,controller_type,tuning_value,x,y,path_x,path_y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,straightline,349,pure_pursuit,3.0,-364.3430480957031,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.200865899194766e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,2,0.9800000786781311,597.6172067986624
1,0.05,straightline,349,pure_pursuit,3.0,-364.3430480957031,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.200865899194766e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,2,1.470000147819519,597.6172067986624
2,0.1,straightline,349,pure_pursuit,3.0,-364.3430480957031,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.200865899194766e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,2,1.9600002765655518,597.6172067986624
3,0.15000000000000002,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.9199349297457808,597.6171457643981
4,0.2,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.3441779020329866,597.6171457643981
5,0.25,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3683776557445526,-7.1299534149011475e-06,0.35,0.0,6.151014517439689e-05,-3.054738039840921e-05,0,2,0.06916984176555799,597.6171457643981
6,0.30000000000000004,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3683776557445526,-7.1299534149011475e-06,0.35,0.0,6.151014517439689e-05,-3.054738039840921e-05,0,2,0.04898205780720673,597.6171457643981
7,0.35000000000000003,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.08883195385126562,597.6171457643981
8,0.4,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.0922465475034467,597.6171457643981
9,0.45,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.08080438540307387,597.6171457643981
10,0.5,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.06508419677097078,597.6171457643981
11,0.55,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3684081733226776,-5.502349248262111e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,2,0.049854096140902124,597.6171457643981
12,0.6000000000000001,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3684081733226776,-5.502349248262111e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,2,0.036929674538972064,597.6171457643981
13,0.65,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3684081733226776,-5.502349248262111e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,2,0.026707224636415613,597.6171457643981
14,0.7000000000000001,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.018968530078875077,597.6171457643981
15,0.75,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.013283299360778258,597.6171457643981
16,0.8,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.009199017771211427,597.6171457643981
17,0.8500000000000001,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.0063100244782923025,597.6171457643981
18,0.9,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.004295178126633162,597.6171457643981
19,0.9500000000000001,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.002904454242380072,597.6171457643981
20,1.0,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.0019524399993504252,597.6171457643981
21,1.05,straightline,349,pure_pursuit,3.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,-5.500759791069831e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,2,0.001306087504381025,597.6171457643981
22,1.1,straightline,349,pure_pursuit,3.0,-364.34027099609375,37.06403350830078,-364.3430480957031,37.06404113769531,-0.3686217963695526,4.201069301838919e-06,0.35,0.0,0.002777110089292769,0.00021359324459327634,0,2,0.26704942175544455,597.6144298221174
23,1.1500000000000001,straightline,349,pure_pursuit,3.0,-364.30364990234375,37.06379699707031,-364.3430480957031,37.06404113769531,-0.3686828315258026,8.189626962732332e-06,0.35,0.0,0.03939894979092051,0.0002746284008284755,0,2,1.0345628275388168,597.5778105421691
24,1.2000000000000002,straightline,349,pure_pursuit,3.0,-364.2392883300781,37.063385009765625,-364.3430480957031,37.06404113769531,-0.3683776557445526,-9.651204149933832e-06,0.35,0.0,0.10376184012639256,-3.054738039840921e-05,0,2,1.4601424875654438,597.5134521385182
25,1.25,straightline,349,pure_pursuit,3.0,-364.1583557128906,37.06293487548828,-364.3430480957031,37.06404113769531,-0.3789062201976776,0.0004954264774186004,0.35,0.0,0.18469569590282756,0.010498017072692448,0,2,1.7179858978687859,597.4325231396928
26,1.3,straightline,349,pure_pursuit,3.0,-364.06640625,37.06224822998047,-364.3430480957031,37.06404113769531,-0.363494873046875,-0.00024980354925575063,0.35,0.0,0.27664765553336174,-0.004913330078078533,0,2,1.900371515590549,597.3405787375502
27,1.35,straightline,349,pure_pursuit,3.0,-363.96588134765625,37.061527252197266,-364.3430480957031,37.06404113769531,-0.355682373046875,-0.0006032080306228373,0.35,0.0,0.377175125707611,-0.012725830078117804,0,2,2.0747678117877597,597.2400592098065
28,1.4000000000000001,straightline,349,pure_pursuit,3.0,-363.8592224121094,37.060699462890625,-364.3430480957031,37.06404113769531,-0.3364257514476776,-0.001504558324460364,0.35,0.0,0.48383722355298353,-0.03198245167728573,0,2,2.1699940492958283,597.1334063199512
29,1.4500000000000002,straightline,349,pure_pursuit,3.0,-363.7469482421875,37.05988693237305,-364.3430480957031,37.06404113769531,-0.3301086127758026,-0.001753499114832184,0.35,0.0,0.5961143286175976,-0.03829959034918095,0,2,2.2953073966406987,597.0211381987765
30,1.5,straightline,349,pure_pursuit,3.0,-363.63006591796875,37.05898666381836,-364.3430480957031,37.06404113769531,-0.3161621391773224,-0.0023487793336366674,0.35,0.0,0.7130000935995904,-0.05224606394764467,0,2,2.365727259714582,596.9042624699856
31,1.55,straightline,349,pure_pursuit,3.0,-363.5084533691406,37.05811309814453,-364.3430480957031,37.06404113769531,-0.3141478896141052,-0.0023509694931988755,0.35,0.0,0.8346157794211956,-0.05426031351088479,0,2,2.475361672946416,596.7826564452726
32,1.6,straightline,349,pure_pursuit,3.0,-363.38287353515625,37.05716323852539,-364.3430480957031,37.06404113769531,-0.304168701171875,-0.0027176386580702767,0.35,0.0,0.9601991940313094,-0.06423950195309368,0,2,2.5373409776760463,596.6570836117108
33,1.6500000000000001,straightline,349,pure_pursuit,3.0,-363.2529602050781,37.056236267089844,-362.3431091308594,37.051177978515625,-0.3051146864891052,-0.0028820617175195733,0.35,0.0,0.9098651348086229,-0.0632935166358825,1,3,2.6387629507929526,596.5271772261184
34,1.7000000000000002,straightline,349,pure_pursuit,3.0,-363.1192626953125,37.055233001708984,-362.3431091308594,37.051177978515625,-0.2987365424633026,-0.003116547049624613,0.35,0.0,0.7761641571384175,-0.06967166066165577,1,3,2.697551713564969,596.3934871355239
35,1.75,straightline,349,pure_pursuit,3.0,-362.98150634765625,37.05424880981445,-362.3431091308594,37.051177978515625,-0.30273428559303284,-0.0028207028917146726,0.35,0.0,0.6384046024417916,-0.06567391753192128,1,3,2.793559810082913,596.2557381683362
36,1.8,straightline,349,pure_pursuit,3.0,-362.8401184082031,37.053199768066406,-362.3431091308594,37.051177978515625,-0.29876708984375,-0.0029157758285584144,0.35,0.0,0.49701338955680485,-0.06964111328120647,1,3,2.851024790042084,596.1143580207008
37,1.85,straightline,349,pure_pursuit,3.0,-362.69482421875,37.052181243896484,-362.3431091308594,37.051177978515625,-0.3040770888328552,-0.0025467401041357747,0.35,0.0,0.3517165187922434,-0.06433111429213532,1,3,2.9425656520133345,595.9690715203875
38,1.9000000000000001,straightline,349,pure_pursuit,3.0,-362.5460205078125,37.05110168457031,-362.3431091308594,37.051177978515625,-0.3015136122703552,-0.0025629083505658962,0.35,0.0,0.20291139129624852,-0.06689459085462435,1,3,2.9994076779962153,595.8202758883443
39,1.9500000000000002,straightline,349,pure_pursuit,3.0,-362.3934020996094,37.05006408691406,-362.3431091308594,37.051177978515625,-0.3074035048484802,-0.002168476324006126,0.35,0.0,0.0503053025056853,-0.061004698276477295,1,3,3.0868533688066644,595.6676653930544
40,2.0,straightline,349,pure_pursuit,3.0,-362.23736572265625,37.04897689819336,-362.3431091308594,37.051177978515625,-0.3056334853172302,-0.0021535870965704545,0.35,0.0,0.1057663137912908,-0.06277471780775608,1,3,3.1433623635680146,595.5116372559224
41,2.0500000000000003,straightline,349,pure_pursuit,3.0,-362.07769775390625,37.04792022705078,-362.3431091308594,37.051177978515625,-0.3116759657859802,-0.0017557077840493062,0.35,0.0,0.26543136958686797,-0.05673223733899558,1,3,3.226850910851887,595.351977420874
42,2.1,straightline,349,pure_pursuit,3.0,-361.9147033691406,37.04681396484375,-362.3431091308594,37.051177978515625,-0.31030264496803284,-0.0017211945291258437,0.35,0.0,0.4284279884521443,-0.05810555815692459,1,3,3.2831297271976783,595.1889914961807
43,2.15,straightline,349,pure_pursuit,3.0,-361.7481994628906,37.04574203491211,-362.3431091308594,37.051177978515625,-0.3161010444164276,-0.0013434029894646028,0.35,0.0,0.5949345027190379,-0.05230715870854327,1,3,3.3627267074639073,595.0224959215506
44,2.2,straightline,349,pure_pursuit,3.0,-361.57843017578125,37.04462814331055,-362.3431091308594,37.051177978515625,-0.3148192763328552,-0.0013148343673409916,0.35,0.0,0.7647070057744906,-0.053588926792094045,1,3,3.418785987190157,594.8527352506517
45,2.25,straightline,349,pure_pursuit,3.0,-361.40521240234375,37.04354476928711,-362.3431091308594,37.051177978515625,-0.3201598823070526,-0.0009730590026377458,0.35,0.0,0.9379277899942182,-0.048248320817910195,1,3,3.4945598328686693,594.6795259851256
46,2.3000000000000003,straightline,349,pure_pursuit,3.0,-361.22882080078125,37.04241943359375,-360.3431396484375,37.03832244873047,-0.3187560439109802,-0.0016504339560344133,0.35,0.0,0.8856906282116362,-0.04965215921398225,2,4,3.550451015674504,594.5031431754459
47,2.35,straightline,349,pure_pursuit,3.0,-361.0491027832031,37.041290283203125,-360.3431396484375,37.03832244873047,-0.32534781098365784,-0.0012779407215076145,0.35,0.0,0.7059693730535094,-0.04306039214130944,2,4,3.6220476482834605,594.3234340278203
48,2.4000000000000004,straightline,349,pure_pursuit,3.0,-360.86627197265625,37.04009246826172,-360.3431396484375,37.03832244873047,-0.3261108100414276,-0.0011810698869020734,0.35,0.0,0.5231353186429419,-0.042297393083527944,2,4,3.677447158601151,594.1406125175607
49,2.45,straightline,349,pure_pursuit,3.0,-360.6803894042969,37.038917541503906,-360.3431396484375,37.03832244873047,-0.333343505859375,-0.0007635667771391151,0.35,0.0,0.3372502808933108,-0.03506469726559492,2,4,3.743055998365613,593.9547391780167
