step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,straightline,349,pure_pursuit,6.0,-364.3430480957031,37.064048767089844,-0.368408203125,-2.5754422368282303e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,3,0.9800000786781311,597.6172067986624
1,0.05,straightline,349,pure_pursuit,6.0,-364.3430480957031,37.064048767089844,-0.368408203125,-2.5754422368282303e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,3,1.470000147819519,597.6172067986624
2,0.1,straightline,349,pure_pursuit,6.0,-364.3430480957031,37.064048767089844,-0.368408203125,-2.5754422368282303e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,3,1.9600002765655518,597.6172067986624
3,0.15000000000000002,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.9199349297460216,597.6171457643981
4,0.2,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.34417790203304527,597.6171457643981
5,0.25,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.3683776557445526,-2.7239732382637747e-06,0.35,0.0,6.151014517439689e-05,-3.054738039840921e-05,0,4,0.06916984176553262,597.6171457643981
6,0.30000000000000004,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.3683776557445526,-2.7239732382637747e-06,0.35,0.0,6.151014517439689e-05,-3.054738039840921e-05,0,4,0.04898205780706618,597.6171457643981
7,0.35000000000000003,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.08883195385116842,597.6171457643981
8,0.4,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.09224654750346879,597.6171457643981
9,0.45,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.08080440030103221,597.6171457643981
10,0.5,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.06508419677093567,597.6171457643981
11,0.55,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.3684081733226776,-1.910171154932919e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,4,0.04985408869578268,597.6171457643981
12,0.6000000000000001,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.3684081733226776,-1.910171154932919e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,4,0.03692967453912844,597.6171457643981
13,0.65,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.3684081733226776,-1.910171154932919e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,4,0.026707224636676137,597.6171457643981
14,0.7000000000000001,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.018968530079208953,597.6171457643981
15,0.75,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.013283317989091274,597.6171457643981
16,0.8,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.009199036403823285,597.6171457643981
17,0.8500000000000001,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.006310062653645804,597.6171457643981
18,0.9,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.00429523542167484,597.6171457643981
19,0.9500000000000001,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.002902728233127087,597.6171457643981
20,1.0,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.001952754665787872,597.6171457643981
21,1.05,straightline,349,pure_pursuit,6.0,-364.3429870605469,37.064048767089844,-0.368408203125,-1.9093764263367707e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,4,0.0013055627883536488,597.6171457643981
22,1.1,straightline,349,pure_pursuit,6.0,-364.34027099609375,37.06403350830078,-0.3686217963695526,3.3644247175527277e-06,0.35,0.0,0.002777110089292769,0.00021359324459327634,0,4,0.26704825657589226,597.6144298221174
23,1.1500000000000001,straightline,349,pure_pursuit,6.0,-364.30364990234375,37.06379699707031,-0.3686828315258026,5.1802725091481015e-06,0.35,0.0,0.03939894979092051,0.0002746284008284755,0,4,1.0346715507058029,597.5778105421691
24,1.2000000000000002,straightline,349,pure_pursuit,6.0,-364.23931884765625,37.063385009765625,-0.3683471381664276,-4.110779861663763e-06,0.35,0.0,0.10373132315858233,-6.106495854145323e-05,0,4,1.4625268067340376,597.5134826556501
25,1.25,straightline,349,pure_pursuit,6.0,-364.15716552734375,37.062862396240234,-0.3687743842601776,6.154693535609921e-06,0.35,0.0,0.18588630571210898,0.0003661811352067187,0,4,1.7235429974279177,597.4313333636292
26,1.3,straightline,349,pure_pursuit,6.0,-364.0653381347656,37.06227493286133,-0.3690490424633026,1.2844603569130713e-05,0.35,0.0,0.2777155773150353,0.0006408393383414483,0,4,1.9039753010132934,597.3395104934569
27,1.35,straightline,349,pure_pursuit,6.0,-363.9662780761719,37.06163787841797,-0.368804931640625,6.299029375673515e-06,0.35,0.0,0.3767776841490651,0.0003967285156560168,0,4,2.0320988163917932,597.2404553336511
