step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.62440490722656,0.9240431189537048,-0.15437011942701867,0.35,0.0,1.52587890625e-05,-1.1920928942248105e-07,0,5,0.9800000786781311,171.16852996795186
1,0.05,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.62440490722656,0.9240431189537048,-0.15437011942701867,0.35,0.0,1.52587890625e-05,-1.1920928942248105e-07,0,5,1.470000147819519,171.16852996795186
2,0.1,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.62440490722656,0.9240431189537048,-0.15437011942701867,0.35,0.0,1.52587890625e-05,-1.1920928942248105e-07,0,5,1.9600002765655518,171.16852996795186
3,0.15000000000000002,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.62440490722656,0.9240431189537048,-0.15437011942701867,0.35,0.0,1.52587890625e-05,-1.1920928942248105e-07,0,5,2.450000286102295,171.16852996795186
4,0.2,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,1.9039393663527855,171.1685448108037
5,0.25,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.7244939208041461,171.1685448108037
6,0.30000000000000004,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.15844313800348855,171.1685448108037
7,0.35000000000000003,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.08698001503952504,171.1685448108037
8,0.4,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.17180404067039554,171.1685448108037
9,0.45,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.18146727979184066,171.1685448108037
10,0.5,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.1601233482361642,171.1685448108037
11,0.55,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.12949451804184423,171.1685448108037
12,0.6000000000000001,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.09944984316829887,171.1685448108037
13,0.65,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.07380002737057179,171.1685448108037
14,0.7000000000000001,sturn,192,pure_pursuit,10.0,332.51141357421875,-117.6243896484375,0.9240431189537048,-0.15437138672017292,0.35,0.0,3.0517578125e-05,-1.1920928942248105e-07,0,5,0.0534423813225142,171.1685448108037
