step,time,route_name,spawn_index,controller_type,tuning_value,x,y,path_x,path_y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,ccurve,247,stanley,0.4,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-2.2607128145334908e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,0.9800000786781311,79.21691570285796
1,0.05,ccurve,247,stanley,0.4,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-2.9603599091128475e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,1.470000147819519,79.21691570285796
2,0.1,ccurve,247,stanley,0.4,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-3.310183477679163e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,1.9600002765655518,79.21691570285796
3,0.15000000000000002,ccurve,247,stanley,0.4,250.85569763183594,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4102020263672,-3.5200775643507636e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,2.450000286102295,79.21691570285796
4,0.2,ccurve,247,stanley,0.4,250.85574340820312,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41123962402344,2.9161570638514656e-05,0.35,0.0,1.570658639798909e-07,0.0010223388672067526,0,-1,2.137713305534576,79.21687843827782
5,0.25,ccurve,247,stanley,0.4,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.4153594970703,0.00014593107922091997,0.35,0.0,1.2565269118391272e-06,0.00514221191407503,0,-1,0.8317166705176563,79.2167914876255
6,0.30000000000000004,ccurve,247,stanley,0.4,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41671752929688,0.00018162648465470629,0.35,0.0,1.2565269118391272e-06,0.006500244140651711,0,-1,0.20093526827595692,79.2167914876255
7,0.35000000000000003,ccurve,247,stanley,0.4,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41671752929688,0.00017749341100234802,0.35,0.0,1.2565269118391272e-06,0.006500244140651711,0,-1,0.07588265740818086,79.2167914876255
8,0.4,ccurve,247,stanley,0.4,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.416259765625,0.00016793056274790782,0.35,0.0,1.2565269118391272e-06,0.006042480468760495,0,-1,0.1746245870171767,79.2167914876255
9,0.45,ccurve,247,stanley,0.4,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41567993164062,0.00015173112107685042,0.35,0.0,1.2565269118391272e-06,0.005462646484398881,0,-1,0.18938574898845284,79.2167914876255
10,0.5,ccurve,247,stanley,0.4,250.85585021972656,-310.97308349609375,250.85572814941406,-310.97308349609375,-179.41506958007812,0.00013376719983949364,0.35,0.0,1.2565269118391272e-06,0.0048522949218942225,0,-1,0.16895670578699873,79.2167914876255
