step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,ccurve,247,stanley,0.8,250.85569763183594,-310.97308349609375,-179.4102020263672,-1.6177161590202888e-08,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,0.9800000786781311,79.21691570285796
1,0.05,ccurve,247,stanley,0.8,250.85569763183594,-310.97308349609375,-179.4102020263672,-1.561065805060694e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,1.470000147819519,79.21691570285796
2,0.1,ccurve,247,stanley,0.8,250.85569763183594,-310.97308349609375,-179.4102020263672,-2.260712942193314e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,1.9600002765655518,79.21691570285796
3,0.15000000000000002,ccurve,247,stanley,0.8,250.85569763183594,-310.97308349609375,-179.4102020263672,-2.6805011155365107e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,2.450000286102295,79.21691570285796
4,0.2,ccurve,247,stanley,0.8,250.85574340820312,-310.97308349609375,-179.41123962402344,2.911345935683639e-05,0.35,0.0,1.570658639798909e-07,0.0010223388672067526,0,-1,2.137713305534895,79.21687843827782
5,0.25,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.4153594970703,0.00014494181803969771,0.35,0.0,1.2565269118391272e-06,0.00514221191407503,0,-1,0.8317166705179723,79.2167914876255
6,0.30000000000000004,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41671752929688,0.00017753170814798362,0.35,0.0,1.2565269118391272e-06,0.006500244140651711,0,-1,0.2009352682758907,79.2167914876255
7,0.35000000000000003,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41671752929688,0.0001692655608436343,0.35,0.0,1.2565269118391272e-06,0.006500244140651711,0,-1,0.07588265740890013,79.2167914876255
8,0.4,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.416259765625,0.00016321882638859663,0.35,0.0,1.2565269118391272e-06,0.006042480468760495,0,-1,0.17462458701987646,79.2167914876255
9,0.45,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41567993164062,0.0001473866283138991,0.35,0.0,1.2565269118391272e-06,0.005462646484398881,0,-1,0.18938574899074323,79.2167914876255
10,0.5,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41506958007812,0.00012889740191079235,0.35,0.0,1.2565269118391272e-06,0.0048522949218942225,0,-1,0.16895670578917193,79.2167914876255
11,0.55,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.4146270751953,0.00011402364323320158,0.35,0.0,1.2565269118391272e-06,0.004409790039099973,0,-1,0.1374704121434932,79.2167914876255
12,0.6000000000000001,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41424560546875,9.956832260764533e-05,0.35,0.0,1.2565269118391272e-06,0.004028320312540923,0,-1,0.10598431231683281,79.2167914876255
13,0.65,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41397094726562,9.079178852233376e-05,0.35,0.0,1.2565269118391272e-06,0.003753662109406193,0,-1,0.07886433112254827,79.2167914876255
14,0.7000000000000001,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41372680664062,8.381634209254593e-05,0.35,0.0,1.2565269118391272e-06,0.003509521484363619,0,-1,0.057226655245789584,79.2167914876255
15,0.75,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41358947753906,7.989265347778947e-05,0.35,0.0,1.2565269118391272e-06,0.003372192382847143,0,-1,0.04074827688962712,79.2167914876255
16,0.8,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41348266601562,7.684089566421204e-05,0.35,0.0,1.2565269118391272e-06,0.003265380859371933,0,-1,0.02860060417747197,79.2167914876255
17,0.8500000000000001,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41348266601562,7.684089566421204e-05,0.35,0.0,1.2565269118391272e-06,0.003265380859371933,0,-1,0.01983696331625408,79.2167914876255
18,0.9,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41336059570312,7.335317244931813e-05,0.35,0.0,1.2565269118391272e-06,0.003143310546850646,0,-1,0.01362886498525895,79.2167914876255
19,0.9500000000000001,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41336059570312,7.335317244931813e-05,0.35,0.0,1.2565269118391272e-06,0.003143310546850646,0,-1,0.009289915544615869,79.2167914876255
20,1.0,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41336059570312,7.335317244931813e-05,0.35,0.0,1.2565269118391272e-06,0.003143310546850646,0,-1,0.006289223277062791,79.2167914876255
21,1.05,ccurve,247,stanley,0.8,250.85585021972656,-310.97308349609375,-179.41336059570312,7.335317244931813e-05,0.35,0.0,1.2565269118391272e-06,0.003143310546850646,0,-1,0.004232661601125143,79.2167914876255
22,1.1,ccurve,247,stanley,0.8,250.85311889648438,-310.97308349609375,-179.4134979248047,0.00022558926065815361,0.35,0.0,-2.6858262740561346e-05,0.0032806396484689,0,-1,0.26675974408850206,79.21901495528186
23,1.1500000000000001,ccurve,247,stanley,0.8,250.81661987304688,-310.9734802246094,-179.4135284423828,0.00010219115351982959,0.35,0.0,-5.8523120949521335e-06,0.0033111572265610545,0,-1,1.0102325459056625,79.2489608084392
24,1.2000000000000002,ccurve,247,stanley,0.8,250.7519989013672,-310.97412109375,-179.41384887695312,0.00013092234281910232,0.35,0.0,-3.0191058127046087e-05,0.0036315917968849057,0,-1,1.4556331442647996,79.30195726213289
25,1.25,ccurve,247,stanley,0.8,250.67027282714844,-310.97491455078125,-179.39894104003906,-0.00026332543476893956,0.35,0.0,-7.802083103232525e-05,-0.011276245117162879,0,-1,1.736147271261523,79.36899661438736
