step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,straightline,349,stanley,1.2,-364.3430480957031,37.064048767089844,-0.368408203125,-1.5292934181399028e-05,0.35,0.0,7.6292368166493705e-06,5.088887490341627e-14,0,-1,0.9800000786781311,597.6172067986624
1,0.05,straightline,349,stanley,1.2,-364.3430480957031,37.064048767089844,-0.368408203125,-1.0195289247250027e-05,0.35,0.0,7.6292368166493705e-06,5.088887490341627e-14,0,-1,1.470000147819519,597.6172067986624
2,0.1,straightline,349,stanley,1.2,-364.3430480957031,37.064048767089844,-0.368408203125,-7.646466625073145e-06,0.35,0.0,7.6292368166493705e-06,5.088887490341627e-14,0,-1,1.9600002765655518,597.6172067986624
3,0.15000000000000002,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-1.7129488602419403e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.9199349297458048,597.6171457643981
4,0.2,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-4.578450504320319e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.34417790203218745,597.6171457643981
5,0.25,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.3683776557445526,-0.0001584529307699925,0.35,0.0,8.02168626912421e-06,-3.054738039840921e-05,0,-1,0.06916985667120688,597.6171457643981
6,0.30000000000000004,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.3683776557445526,-0.0001584529307699925,0.35,0.0,8.02168626912421e-06,-3.054738039840921e-05,0,-1,0.04898129411743245,597.6171457643981
7,0.35000000000000003,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.08883224442818341,597.6171457643981
8,0.4,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.09224643574580686,597.6171457643981
9,0.45,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.08080427364579147,597.6171457643981
10,0.5,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.06508407756290391,597.6171457643981
11,0.55,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.3684081733226776,-0.0001575809999673595,0.35,0.0,8.02168626912421e-06,-2.9802306254062185e-08,0,-1,0.049853980668634564,597.6171457643981
12,0.6000000000000001,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.3684081733226776,-0.0001575809999673595,0.35,0.0,8.02168626912421e-06,-2.9802306254062185e-08,0,-1,0.03692956278242917,597.6171457643981
13,0.65,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.3684081733226776,-0.0001575809999673595,0.35,0.0,8.02168626912421e-06,-2.9802306254062185e-08,0,-1,0.02670642370364997,597.6171457643981
14,0.7000000000000001,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.018968340091780212,597.6171457643981
15,0.75,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.013283480073089085,597.6171457643981
16,0.8,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.00919890323445324,597.6171457643981
17,0.8500000000000001,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.006309929009466541,597.6171457643981
18,0.9,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.004295578893350118,597.6171457643981
19,0.9500000000000001,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.0029044733423116234,597.6171457643981
20,1.0,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.0019524589882963905,597.6171457643981
21,1.05,straightline,349,stanley,1.2,-364.3429870605469,37.064048767089844,-0.368408203125,-0.00015758014847144113,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.001306831404990943,597.6171457643981
