step,time,route_name,spawn_index,controller_type,tuning_value,x,y,path_x,path_y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,sturn,192,stanley,0.8,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-2.0391754627349817e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,0.9800000786781311,171.16852996795186
1,0.05,sturn,192,stanley,0.8,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-1.3595638136291584e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,1.470000147819519,171.16852996795186
2,0.1,sturn,192,stanley,0.8,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-1.0197579683898655e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,1.9600002765655518,171.16852996795186
3,0.15000000000000002,sturn,192,stanley,0.8,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-8.158745141502973e-06,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,2.450000286102295,171.16852996795186
4,0.2,sturn,192,stanley,0.8,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-2.099208201826526e-05,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,1.9039393663553963,171.1685448108037
5,0.25,sturn,192,stanley,0.8,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-5.5160758439215464e-05,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.7244939208042214,171.1685448108037
6,0.30000000000000004,sturn,192,stanley,0.8,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.00025221480968616106,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.15844313800348767,171.1685448108037
7,0.35000000000000003,sturn,192,stanley,0.8,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0003996150636391776,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.0869804546237648,171.1685448108037
8,0.4,sturn,192,stanley,0.8,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.00023260070542004032,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.17180408537387876,171.1685448108037
9,0.45,sturn,192,stanley,0.8,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.00022021440430572883,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.1814676225185461,171.1685448108037
